stateabbr,statedesc,locationname,measureid,measure,category,data_value,indicator_90th_percentile
AL,Alabama,Clarke,STROKE,Stroke among adults,Health Outcomes,4.1,4.1
AL,Alabama,Greene,STROKE,Stroke among adults,Health Outcomes,6.1,4.1
AR,Arkansas,Jackson,MHLTH,Frequent mental distress among adults,Health Status,21.9,21.0
AR,Arkansas,Ashley,VISION,Vision disability among adults,Disability,7.7,7.6
AR,Arkansas,Lafayette,SHUTUTILITY,Utility services shut-off threat in the past 12 months among adults,Health-Related Social Needs,18.2,14.3
AR,Arkansas,Union,EMOTIONSPT,Lack of social and emotional support among adults,Health-Related Social Needs,29.1,29.0
AR,Arkansas,Cross,STROKE,Stroke among adults,Health Outcomes,4.1,4.1
AR,Arkansas,Woodruff,SELFCARE,Self-care disability among adults,Disability,5.6,5.4
AR,Arkansas,Desha,COPD,Chronic obstructive pulmonary disease among adults,Health Outcomes,10.7,9.1
AL,Alabama,Perry,COPD,Chronic obstructive pulmonary disease among adults,Health Outcomes,10.7,9.1
AL,Alabama,Barbour,HOUSINSECU,Housing insecurity in the past 12 months among adults,Health-Related Social Needs,23.2,20.2
AR,Arkansas,St. Francis,BPHIGH,High blood pressure among adults,Health Outcomes,46.6,39.8
AZ,Arizona,Yuma,VISION,Vision disability among adults,Disability,8.1,7.6
AL,Alabama,Pickens,MOBILITY,Mobility disability among adults,Disability,18.1,17.75
AL,Alabama,Dallas,GHLTH,Fair or poor self-rated health status among adults,Health Status,31.3,26.9
AR,Arkansas,Bradley,LPA,No leisure-time physical activity among adults,Health Risk Behaviors,38.6,34.3
AR,Arkansas,Columbia,EMOTIONSPT,Lack of social and emotional support among adults,Health-Related Social Needs,29.5,29.0
AK,Alaska,Northwest Arctic,MOBILITY,Mobility disability among adults,Disability,19.1,17.75
AL,Alabama,Macon,EMOTIONSPT,Lack of social and emotional support among adults,Health-Related Social Needs,32.0,29.0
CA,California,Placer,CHOLSCREEN,Cholesterol screening among adults,Prevention,86.0,85.9
AR,Arkansas,Lafayette,FOODINSECU,Food insecurity in the past 12 months among adults,Health-Related Social Needs,31.5,26.2
AR,Arkansas,Bradley,DISABILITY,Any disability among adults,Disability,42.1,39.4
AL,Alabama,Perry,CASTHMA,Current asthma among adults,Health Outcomes,12.2,11.8
AL,Alabama,Tallapoosa,BPHIGH,High blood pressure among adults,Health Outcomes,40.8,39.8
AR,Arkansas,Madison,EMOTIONSPT,Lack of social and emotional support among adults,Health-Related Social Needs,29.4,29.0
AL,Alabama,Dale,BPHIGH,High blood pressure among adults,Health Outcomes,40.5,39.8
AR,Arkansas,Monroe,STROKE,Stroke among adults,Health Outcomes,4.3,4.1
AL,Alabama,DeKalb,BPHIGH,High blood pressure among adults,Health Outcomes,40.0,39.8
AL,Alabama,Conecuh,HOUSINSECU,Housing insecurity in the past 12 months among adults,Health-Related Social Needs,23.5,20.2
AL,Alabama,Escambia,TEETHLOST,All teeth lost among adults aged >=65 years,Health Outcomes,28.6,24.0
AR,Arkansas,Yell,COGNITION,Cognitive disability among adults,Disability,20.6,20.4
AL,Alabama,Conecuh,COPD,Chronic obstructive pulmonary disease among adults,Health Outcomes,9.7,9.1
AR,Arkansas,Ouachita,STROKE,Stroke among adults,Health Outcomes,4.1,4.1
AL,Alabama,Pickens,BPMED,Taking medicine to control high blood pressure among adults with high blood pressure,Prevention,63.3,62.5
AL,Alabama,Marshall,HIGHCHOL,High cholesterol among adults who have ever been screened,Health Outcomes,36.8,34.8
AR,Arkansas,St. Francis,PHLTH,Frequent physical distress among adults,Health Status,17.2,16.4
CA,California,Merced,HOUSINSECU,Housing insecurity in the past 12 months among adults,Health-Related Social Needs,23.0,20.2
AR,Arkansas,Lawrence,INDEPLIVE,Independent living disability among adults,Disability,11.6,11.6
AL,Alabama,Sumter,LPA,No leisure-time physical activity among adults,Health Risk Behaviors,35.7,34.3
AR,Arkansas,Stone,CHD,Coronary heart disease among adults,Health Outcomes,7.5,7.0
AL,Alabama,Perry,LPA,No leisure-time physical activity among adults,Health Risk Behaviors,40.3,34.3
AL,Alabama,Wilcox,LACKTRPT,Lack of reliable transportation in the past 12 months among adults,Health-Related Social Needs,19.8,13.4
AR,Arkansas,Phillips,CHD,Coronary heart disease among adults,Health Outcomes,7.8,7.0
AL,Alabama,Lowndes,CASTHMA,Current asthma among adults,Health Outcomes,11.8,11.8
AL,Alabama,Franklin,INDEPLIVE,Independent living disability among adults,Disability,11.8,11.6
AL,Alabama,Butler,MOBILITY,Mobility disability among adults,Disability,18.1,17.75
AL,Alabama,Macon,BPHIGH,High blood pressure among adults,Health Outcomes,48.4,39.8
AL,Alabama,Lowndes,DIABETES,Diagnosed diabetes among adults,Health Outcomes,19.4,14.2
AK,Alaska,Yukon-Koyukuk,CHD,Coronary heart disease among adults,Health Outcomes,8.0,7.0
AK,Alaska,Kusilvak,COPD,Chronic obstructive pulmonary disease among adults,Health Outcomes,12.4,9.1
AL,Alabama,Sumter,HIGHCHOL,High cholesterol among adults who have ever been screened,Health Outcomes,35.7,34.8
AR,Arkansas,Stone,PHLTH,Frequent physical distress among adults,Health Status,17.0,16.4
AZ,Arizona,La Paz,ACCESS2,Current lack of health insurance among adults aged 18-64 years,Prevention,18.1,17.1
AL,Alabama,Sumter,CHD,Coronary heart disease among adults,Health Outcomes,7.1,7.0
AR,Arkansas,Lee,COPD,Chronic obstructive pulmonary disease among adults,Health Outcomes,10.2,9.1
AR,Arkansas,Drew,EMOTIONSPT,Lack of social and emotional support among adults,Health-Related Social Needs,29.7,29.0
AL,Alabama,Jackson,HEARING,Hearing disability among adults,Disability,8.8,8.2
AR,Arkansas,Nevada,LACKTRPT,Lack of reliable transportation in the past 12 months among adults,Health-Related Social Needs,14.0,13.4
AR,Arkansas,Lincoln,TEETHLOST,All teeth lost among adults aged >=65 years,Health Outcomes,25.4,24.0
CA,California,Kings,LACKTRPT,Lack of reliable transportation in the past 12 months among adults,Health-Related Social Needs,13.4,13.4
AL,Alabama,Macon,HOUSINSECU,Housing insecurity in the past 12 months among adults,Health-Related Social Needs,25.3,20.2
AK,Alaska,Bristol Bay,HEARING,Hearing disability among adults,Disability,8.2,8.2
AL,Alabama,Sumter,SHUTUTILITY,Utility services shut-off threat in the past 12 months among adults,Health-Related Social Needs,19.8,14.3
AR,Arkansas,Miller,MOBILITY,Mobility disability among adults,Disability,17.9,17.75
AR,Arkansas,Jefferson,DIABETES,Diagnosed diabetes among adults,Health Outcomes,15.1,14.2
AR,Arkansas,Lafayette,INDEPLIVE,Independent living disability among adults,Disability,13.8,11.6
AR,Arkansas,Sevier,PHLTH,Frequent physical distress among adults,Health Status,17.9,16.4
AR,Arkansas,Mississippi,CHD,Coronary heart disease among adults,Health Outcomes,7.0,7.0
AR,Arkansas,Nevada,COGNITION,Cognitive disability among adults,Disability,21.8,20.4
AR,Arkansas,Clay,DISABILITY,Any disability among adults,Disability,39.5,39.4
AL,Alabama,Calhoun,HIGHCHOL,High cholesterol among adults who have ever been screened,Health Outcomes,35.4,34.8
AL,Alabama,Fayette,HIGHCHOL,High cholesterol among adults who have ever been screened,Health Outcomes,35.8,34.8
AL,Alabama,Macon,CHECKUP,Visits to doctor for routine checkup within the past year among adults,Prevention,82.2,78.9
AR,Arkansas,Chicot,SELFCARE,Self-care disability among adults,Disability,6.4,5.4
AL,Alabama,Monroe,LONELINESS,Loneliness among adults,Health-Related Social Needs,38.2,38.1
AL,Alabama,Wilcox,SLEEP,Short sleep duration among adults,Health Risk Behaviors,47.4,42.3
AR,Arkansas,Randolph,COPD,Chronic obstructive pulmonary disease among adults,Health Outcomes,9.4,9.1
AL,Alabama,Monroe,DIABETES,Diagnosed diabetes among adults,Health Outcomes,15.6,14.2
AR,Arkansas,Phillips,COPD,Chronic obstructive pulmonary disease among adults,Health Outcomes,10.0,9.1
AK,Alaska,Kusilvak,DISABILITY,Any disability among adults,Disability,49.9,39.4
AK,Alaska,Kusilvak,LPA,No leisure-time physical activity among adults,Health Risk Behaviors,38.5,34.3
AL,Alabama,Winston,CHD,Coronary heart disease among adults,Health Outcomes,7.1,7.0
AL,Alabama,Conecuh,BPHIGH,High blood pressure among adults,Health Outcomes,46.5,39.8
AL,Alabama,Geneva,ARTHRITIS,Arthritis among adults,Health Outcomes,28.3,28.0
AL,Alabama,Barbour,LACKTRPT,Lack of reliable transportation in the past 12 months among adults,Health-Related Social Needs,15.6,13.4
AR,Arkansas,Mississippi,LPA,No leisure-time physical activity among adults,Health Risk Behaviors,35.8,34.3
AL,Alabama,Lowndes,OBESITY,Obesity among adults,Health Outcomes,51.3,43.0
AR,Arkansas,Chicot,MOBILITY,Mobility disability among adults,Disability,20.4,17.75
AZ,Arizona,Apache,SELFCARE,Self-care disability among adults,Disability,6.7,5.4
AL,Alabama,Montgomery,BPHIGH,High blood pressure among adults,Health Outcomes,43.8,39.8
AR,Arkansas,Jackson,GHLTH,Fair or poor self-rated health status among adults,Health Status,29.2,26.9
AL,Alabama,Wilcox,MOBILITY,Mobility disability among adults,Disability,22.9,17.75
AL,Alabama,Wilcox,FOODSTAMP,Received food stamps in the past 12 months among adults,Health-Related Social Needs,36.4,22.1
AL,Alabama,Perry,PHLTH,Frequent physical distress among adults,Health Status,17.9,16.4
AR,Arkansas,Lee,COGNITION,Cognitive disability among adults,Disability,23.1,20.4
AR,Arkansas,Johnson,HEARING,Hearing disability among adults,Disability,8.6,8.2
AR,Arkansas,Ashley,PHLTH,Frequent physical distress among adults,Health Status,17.3,16.4
AR,Arkansas,Franklin,CHD,Coronary heart disease among adults,Health Outcomes,7.1,7.0
AR,Arkansas,Woodruff,EMOTIONSPT,Lack of social and emotional support among adults,Health-Related Social Needs,30.6,29.0
AL,Alabama,Houston,BPMED,Taking medicine to control high blood pressure among adults with high blood pressure,Prevention,63.0,62.5
AR,Arkansas,Polk,HEARING,Hearing disability among adults,Disability,8.5,8.2
AL,Alabama,Greene,VISION,Vision disability among adults,Disability,11.7,7.6
AL,Alabama,Lee,HIGHCHOL,High cholesterol among adults who have ever been screened,Health Outcomes,35.1,34.8
AL,Alabama,Barbour,ARTHRITIS,Arthritis among adults,Health Outcomes,28.9,28.0
AR,Arkansas,Lee,LACKTRPT,Lack of reliable transportation in the past 12 months among adults,Health-Related Social Needs,17.3,13.4
AR,Arkansas,Lincoln,LPA,No leisure-time physical activity among adults,Health Risk Behaviors,36.1,34.3
AL,Alabama,Pickens,MAMMOUSE,Mammography use among women aged 50-74 years,Prevention,79.5,78.6
AL,Alabama,Barbour,COPD,Chronic obstructive pulmonary disease among adults,Health Outcomes,9.3,9.1
AL,Alabama,Macon,FOODINSECU,Food insecurity in the past 12 months among adults,Health-Related Social Needs,33.2,26.2
AK,Alaska,Kusilvak,PHLTH,Frequent physical distress among adults,Health Status,23.2,16.4
AL,Alabama,Bullock,CSMOKING,Current cigarette smoking among adults,Health Risk Behaviors,24.9,20.8
AL,Alabama,Bullock,HIGHCHOL,High cholesterol among adults who have ever been screened,Health Outcomes,37.1,34.8
AR,Arkansas,Randolph,INDEPLIVE,Independent living disability among adults,Disability,11.7,11.6
AR,Arkansas,Ouachita,DISABILITY,Any disability among adults,Disability,40.0,39.4
AL,Alabama,Escambia,HEARING,Hearing disability among adults,Disability,8.5,8.2
AL,Alabama,Pike,STROKE,Stroke among adults,Health Outcomes,4.1,4.1
AL,Alabama,Dallas,LONELINESS,Loneliness among adults,Health-Related Social Needs,40.3,38.1
AR,Arkansas,Cross,GHLTH,Fair or poor self-rated health status among adults,Health Status,27.7,26.9
AL,Alabama,Monroe,OBESITY,Obesity among adults,Health Outcomes,43.9,43.0
AK,Alaska,Bethel,CHD,Coronary heart disease among adults,Health Outcomes,8.6,7.0
AR,Arkansas,Izard,TEETHLOST,All teeth lost among adults aged >=65 years,Health Outcomes,27.1,24.0
AR,Arkansas,Union,BPMED,Taking medicine to control high blood pressure among adults with high blood pressure,Prevention,62.8,62.5
AK,Alaska,Northwest Arctic,TEETHLOST,All teeth lost among adults aged >=65 years,Health Outcomes,30.4,24.0
AR,Arkansas,Van Buren,COGNITION,Cognitive disability among adults,Disability,21.4,20.4
AL,Alabama,Sumter,LACKTRPT,Lack of reliable transportation in the past 12 months among adults,Health-Related Social Needs,16.8,13.4
AR,Arkansas,Randolph,HEARING,Hearing disability among adults,Disability,8.8,8.2
AR,Arkansas,Stone,LPA,No leisure-time physical activity among adults,Health Risk Behaviors,34.4,34.3
CA,California,Kings,FOODINSECU,Food insecurity in the past 12 months among adults,Health-Related Social Needs,26.5,26.2
AR,Arkansas,Sharp,HEARING,Hearing disability among adults,Disability,8.6,8.2
AZ,Arizona,Yuma,FOODINSECU,Food insecurity in the past 12 months among adults,Health-Related Social Needs,26.3,26.2
AL,Alabama,Lowndes,MOBILITY,Mobility disability among adults,Disability,23.1,17.75
AR,Arkansas,Woodruff,COGNITION,Cognitive disability among adults,Disability,22.3,20.4
AR,Arkansas,Phillips,LPA,No leisure-time physical activity among adults,Health Risk Behaviors,41.9,34.3
AR,Arkansas,Johnson,LPA,No leisure-time physical activity among adults,Health Risk Behaviors,35.7,34.3
AR,Arkansas,Lafayette,SLEEP,Short sleep duration among adults,Health Risk Behaviors,43.6,42.3
AL,Alabama,Pickens,ARTHRITIS,Arthritis among adults,Health Outcomes,28.0,28.0
AL,Alabama,Macon,SHUTUTILITY,Utility services shut-off threat in the past 12 months among adults,Health-Related Social Needs,18.6,14.3
AL,Alabama,Lee,COLON_SCREEN,Colorectal cancer screening among adults aged 45–75 years,Prevention,63.6,63.1
AR,Arkansas,Montgomery,CHD,Coronary heart disease among adults,Health Outcomes,7.1,7.0
AL,Alabama,Pike,BPHIGH,High blood pressure among adults,Health Outcomes,42.6,39.8
AL,Alabama,Russell,SELFCARE,Self-care disability among adults,Disability,5.4,5.4
AK,Alaska,Bethel,SHUTUTILITY,Utility services shut-off threat in the past 12 months among adults,Health-Related Social Needs,19.6,14.3
AL,Alabama,Bullock,HOUSINSECU,Housing insecurity in the past 12 months among adults,Health-Related Social Needs,31.2,20.2
AR,Arkansas,Little River,DISABILITY,Any disability among adults,Disability,39.6,39.4
AR,Arkansas,Marion,COGNITION,Cognitive disability among adults,Disability,20.7,20.4
AR,Arkansas,Nevada,LPA,No leisure-time physical activity among adults,Health Risk Behaviors,38.3,34.3
AR,Arkansas,Desha,LACKTRPT,Lack of reliable transportation in the past 12 months among adults,Health-Related Social Needs,18.2,13.4
AL,Alabama,Winston,INDEPLIVE,Independent living disability among adults,Disability,11.6,11.6
AK,Alaska,Yakutat,HEARING,Hearing disability among adults,Disability,9.2,8.2
AL,Alabama,Chambers,SLEEP,Short sleep duration among adults,Health Risk Behaviors,42.6,42.3
AZ,Arizona,La Paz,HEARING,Hearing disability among adults,Disability,8.4,8.2
AK,Alaska,Nome,TEETHLOST,All teeth lost among adults aged >=65 years,Health Outcomes,27.4,24.0
AR,Arkansas,Ouachita,COGNITION,Cognitive disability among adults,Disability,20.5,20.4
AL,Alabama,Walker,HIGHCHOL,High cholesterol among adults who have ever been screened,Health Outcomes,35.1,34.8
AR,Arkansas,Montgomery,HIGHCHOL,High cholesterol among adults who have ever been screened,Health Outcomes,34.9,34.8
AZ,Arizona,Apache,HEARING,Hearing disability among adults,Disability,11.1,8.2
AR,Arkansas,Randolph,DISABILITY,Any disability among adults,Disability,41.0,39.4
AZ,Arizona,Navajo,LACKTRPT,Lack of reliable transportation in the past 12 months among adults,Health-Related Social Needs,15.3,13.4
AL,Alabama,DeKalb,HIGHCHOL,High cholesterol among adults who have ever been screened,Health Outcomes,36.5,34.8
AR,Arkansas,Jackson,BPHIGH,High blood pressure among adults,Health Outcomes,41.4,39.8
AZ,Arizona,Yuma,HOUSINSECU,Housing insecurity in the past 12 months among adults,Health-Related Social Needs,20.6,20.2
AR,Arkansas,Franklin,DEPRESSION,Depression among adults,Health Outcomes,28.5,28.4
AR,Arkansas,Franklin,PHLTH,Frequent physical distress among adults,Health Status,16.8,16.4
AK,Alaska,Nome,HEARING,Hearing disability among adults,Disability,11.4,8.2
AR,Arkansas,Nevada,COPD,Chronic obstructive pulmonary disease among adults,Health Outcomes,9.4,9.1
AK,Alaska,Kusilvak,COGNITION,Cognitive disability among adults,Disability,25.1,20.4
AL,Alabama,Greene,MHLTH,Frequent mental distress among adults,Health Status,21.5,21.0
AR,Arkansas,Crittenden,TEETHLOST,All teeth lost among adults aged >=65 years,Health Outcomes,28.5,24.0
AR,Arkansas,Ashley,LONELINESS,Loneliness among adults,Health-Related Social Needs,38.5,38.1
AL,Alabama,Clarke,BPHIGH,High blood pressure among adults,Health Outcomes,43.5,39.8
AL,Alabama,Clarke,CHECKUP,Visits to doctor for routine checkup within the past year among adults,Prevention,79.9,78.9
AL,Alabama,Hale,DIABETES,Diagnosed diabetes among adults,Health Outcomes,16.3,14.2
AL,Alabama,Tuscaloosa,BPMED,Taking medicine to control high blood pressure among adults with high blood pressure,Prevention,64.3,62.5
AL,Alabama,Marengo,LONELINESS,Loneliness among adults,Health-Related Social Needs,39.1,38.1
AL,Alabama,Hale,OBESITY,Obesity among adults,Health Outcomes,47.8,43.0
AR,Arkansas,Chicot,SLEEP,Short sleep duration among adults,Health Risk Behaviors,47.6,42.3
AR,Arkansas,Lee,VISION,Vision disability among adults,Disability,9.7,7.6
AR,Arkansas,Chicot,COPD,Chronic obstructive pulmonary disease among adults,Health Outcomes,9.1,9.1
AR,Arkansas,Jackson,SHUTUTILITY,Utility services shut-off threat in the past 12 months among adults,Health-Related Social Needs,14.8,14.3
AL,Alabama,Clarke,INDEPLIVE,Independent living disability among adults,Disability,11.6,11.6
AL,Alabama,Greene,FOODSTAMP,Received food stamps in the past 12 months among adults,Health-Related Social Needs,42.2,22.1
AR,Arkansas,Randolph,TEETHLOST,All teeth lost among adults aged >=65 years,Health Outcomes,29.2,24.0
