stateabbr,statedesc,locationname,locationid,totalpopulation,health_burden_score,burden_percentile,burden_category,indicator_count,indicator_completeness,top_indicator_1,top_indicator_2,top_indicator_3,OBESITY_z,DIABETES_z,BPHIGH_z,STROKE_z,COPD_z,DEPRESSION_z,CSMOKING_z,LPA_z,GHLTH_z,MHLTH_z,ACCESS2_z
WV,West Virginia,Clay,54015,7783,1.7256934556707095,97.6319350473613,Very High,11,1.0,MHLTH,DEPRESSION,COPD,0.8372789421300151,1.3011654543168305,1.4744975952458648,1.018323848929405,2.6590997408607646,2.814725491581402,2.387613290985328,1.7776794881343785,1.6793931421996502,3.1957751464851043,-0.1629241284909345
TX,Texas,Willacy,48489,20037,1.7141355965023144,97.59810554803788,Very High,11,1.0,ACCESS2,GHLTH,DIABETES,1.4273968252151272,3.361194063802508,0.7224788173732006,1.5037560852518244,0.0730923272684823,-1.347722350111283,0.2984922511238299,3.243438581934909,3.613589206802452,-0.153502055852071,6.11327780871648
TX,Texas,San Augustine,48405,7833,1.7089263492197342,97.56427604871448,Very High,11,1.0,COPD,STROKE,GHLTH,1.3220186318070717,1.730338081293013,1.3885525920604178,2.1509990670150487,2.206548443482116,0.7624074585245925,1.8512173483181853,1.6663560126558563,2.1307055572736378,2.0460232710559243,1.5430233779312148
SC,South Carolina,Dillon,45033,27698,1.6875381763307231,97.53044654939109,Very High,11,1.0,STROKE,DIABETES,COPD,1.6170775733496274,2.631600597942997,2.076112617543997,2.798242048778275,2.077248072802501,-0.1047691751613836,1.4559782326687136,1.406601236539307,2.044741287735735,1.3961635153785614,1.163923932059626
TN,Tennessee,Lauderdale,47097,24610,1.680667523384927,97.49661705006766,Very High,11,1.0,CSMOKING,MHLTH,OBESITY,2.017514708300241,1.687420818595395,1.8612501095803784,1.66556683069263,1.947947702122887,1.2827134387361785,2.077068271546456,1.2025081981620176,1.851321681275455,2.0460232710559243,0.8480077271666353
WV,West Virginia,Braxton,54007,12162,1.6753599097858125,97.46278755074424,Very High,11,1.0,MHLTH,COPD,CSMOKING,0.7740520260851806,1.3869999797120671,1.5604425984313115,1.018323848929405,2.723749926200571,2.4100430625279468,2.4158446563888605,1.5921403623368426,1.5934288726617485,3.095796722534741,-0.1418630481647352
MS,Mississippi,Bolivar,28011,28968,1.6744607708194996,97.42895805142084,Very High,11,1.0,BPHIGH,STROKE,DIABETES,1.9332121535737952,2.8891041741287062,3.214883909751173,3.121863539659888,1.560046590084045,-1.31881646232175,1.1454332132298422,2.6497133793827947,2.195178759427064,0.4963576998252917,0.5320915222736446
AL,Alabama,Conecuh,1035,11174,1.6582885430700147,97.39512855209745,Very High,11,1.0,BPHIGH,STROKE,DIABETES,1.9332121535737952,2.4170142844549063,2.7851588938239367,2.474620557896662,1.7539971461034656,0.0108543759967471,1.4559782326687136,1.7776794881343785,2.1307055572736378,1.0962282435274722,0.4057250403164484
LA,Louisiana,Franklin,22041,19285,1.652494529022904,97.36129905277402,Very High,11,1.0,COPD,STROKE,MHLTH,0.9637327742196824,1.687420818595395,1.968681363562188,2.1509990670150487,2.206548443482116,1.542866428841971,1.9923741753358544,1.6663560126558563,2.02325022035126,2.0960124830311067,-0.1208019678385359
GA,Georgia,Stewart,13259,4674,1.6501461608342785,97.3274695534506,Very High,11,1.0,ACCESS2,STROKE,DIABETES,0.9215814968564594,3.103690487616798,2.205030122322167,3.121863539659888,1.4307462194044305,-1.9836518814809985,1.3995155018616463,2.260081215207971,2.4315805006562954,0.0964440040238376,3.1647265630485664
AL,Alabama,Dallas,1047,36165,1.643727217728466,97.2936400541272,Very High,11,1.0,BPHIGH,STROKE,DIABETES,1.869985237528962,2.974938699523944,3.365287665325707,3.121863539659888,1.366096034064623,-0.7696045943206322,1.0607391170192415,1.6849099252356103,2.2811430289649666,0.8462821836515635,0.2793585583592523
SD,South Dakota,Bennett,46007,3305,1.643449265419472,97.2598105548038,Very High,11,1.0,CSMOKING,STROKE,DIABETES,1.1534135223541826,2.631600597942997,0.7009925665768385,2.9600527942190804,2.2711986288219226,-0.3649221652671761,3.5733306379337444,1.4437090616988133,1.980268085582308,1.196206667477835,0.5320915222736446
